Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0,-0.43589388,0,-1.5414138,0,-0.6,0,-0.6
0.0018749993,-0.44497795,0.0018749993,-1.5504979,0.0018749993,-0.59992783,0.0018749993,-0.59992149
0.001875,-0.44497796,0.001875,-1.5504979,0.001875,-0.59992783,0.001875,-0.59992149
0.0037499992,-0.45415583,0.0037499992,-1.5596758,0.0037499992,-0.59987722,0.0037499992,-0.59980833
0.0037499999,-0.45415584,0.0037499999,-1.5596758,0.0037499999,-0.59987722,0.0037499999,-0.59980833
0.0056249993,-0.46355616,0.0056249993,-1.5690761,0.0056249993,-0.59984191,0.0056249993,-0.59964202
0.0056250002,-0.46355617,0.0056250002,-1.5690761,0.0056250002,-0.59984191,0.0056250002,-0.59964202
0.0074999989,-0.4733284,0.0074999989,-1.5788484,0.0074999989,-0.59981754,0.0074999989,-0.59938815
0.0074999998,-0.4733284,0.0074999998,-1.5788484,0.0074999998,-0.59981754,0.0074999998,-0.59938815
0.0093749994,-0.48358988,0.0093749994,-1.5891098,0.0093749994,-0.59980103,0.0093749994,-0.59897478
0.0093750004,-0.48358988,0.0093750004,-1.5891098,0.0093750004,-0.59980103,0.0093750004,-0.59897478
0.01125,-0.49426221,0.01125,-1.5997822,0.01125,-0.59979011,0.01125,-0.59823914
0.01125,-0.49426222,0.01125,-1.5997822,0.01125,-0.59979011,0.01125,-0.59823914
0.013124999,-0.50469448,0.013124999,-1.6102144,0.013124999,-0.59978308,0.013124999,-0.59682634
0.013125,-0.50469448,0.013125,-1.6102144,0.013125,-0.59978308,0.013125,-0.59682634
0.014999999,-0.51324201,0.014999999,-1.618762,0.014999999,-0.59977855,0.014999999,-0.59416539
0.015,-0.51324201,0.015,-1.618762,0.015,-0.59977855,0.015,-0.59416539
0.016875001,-0.51849869,0.016875001,-1.6240187,0.016875001,-0.59977533,0.016875001,-0.58974801
0.018750001,-0.52038182,0.018750001,-1.6259018,0.018750001,-0.59977261,0.018750001,-0.58315433
0.02,-0.51975558,0.02,-1.6252755,0.02,-0.59977074,0.02,-0.57711153
0.02,-0.51975558,0.02,-1.6252755,0.02,-0.59977074,0.02,-0.57711152
0.020625001,-0.51745991,0.020625001,-1.6256203,0.020625001,-0.5997698,0.020625001,-0.5734865
0.022500001,-0.51147316,0.022500001,-1.6196335,0.022500001,-0.59976656,0.022500001,-0.55943061
0.024374999,-0.49825821,0.024374999,-1.6064186,0.024374999,-0.59976224,0.024374999,-0.53851873
0.026249999,-0.4733714,0.026249999,-1.5815318,0.026249999,-0.59975547,0.026249999,-0.507965
0.028124999,-0.43107776,0.028124999,-1.5392381,0.028124999,-0.59974084,0.028124999,-0.46812825
0.029999999,-0.36502954,0.029999999,-1.4731899,0.029999999,-0.59968827,0.029999999,-0.43322189
0.031874999,-0.26786284,0.031874999,-1.3760232,0.031874999,-0.59923928,0.031874999,-0.40962637
0.033750001,-0.12950325,0.033750001,-1.2376636,0.033750001,-0.58395301,0.033750001,-0.38517617
0.035625,0.06393239,0.035625,-1.044228,0.035625,-0.42760695,0.035625,-0.35818644
0.037500001,0.32937956,0.037500001,-0.77878082,0.037500001,-0.16672424,0.037500001,-0.25166422
0.039375,0.68295435,0.039375,-0.42520603,0.039375,0.18089993,0.039375,-0.0020802594
0.039999999,0.63255482,0.039999999,0.0070133354,0.039999999,0.16112079,0.039999999,-9.0461031e-06
0.039999999,0.6325548,0.039999999,0.0070135045,0.039999999,0.16112078,0.039999999,-9.0434271e-06
0.041250002,0.73521919,0.041250002,0.10967789,0.041250002,0.17168414,0.041250002,-8.413321e-06
0.043125,0.77609101,0.043125,0.15054971,0.043125,0.175363,0.043125,-7.2320538e-06
0.045000002,0.78626127,0.045000002,0.16071997,0.045000002,0.16302986,0.045000002,-6.0742538e-06
0.046875,0.79000296,0.046875,0.16446166,0.046875,0.14796315,0.046875,-5.0372535e-06
0.048749998,0.79168018,0.048749998,0.16613888,0.048749998,0.13557738,0.048749998,-4.1694346e-06
0.050625,0.79227485,0.050625,0.16673355,0.050625,0.12618889,0.050625,-3.4135278e-06
0.052499998,0.79244971,0.052499998,0.16690841,0.052499998,0.11825059,0.052499998,-2.7092869e-06
0.054375,0.79249551,0.054375,0.16695421,0.054375,0.10993992,0.054375,-2.0251678e-06
0.056249999,0.79250696,0.056249999,0.16696566,0.056249999,0.099238901,0.056249999,-1.3482351e-06
0.058125,0.79251009,0.058125,0.16696879,0.058125,0.081713161,0.058125,-6.7374579e-07
0.059999999,0.7925114,0.059999999,0.1669701,0.059999999,3.1816855e-08,0.059999999,-2.6200716e-13

