Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0,-0.33589388,0,-1.4414138,0,-0.5,0,-0.5
0.001875,-0.34271216,0.001875,-1.4482321,0.001875,-0.49994012,0.001875,-0.7845296
0.0037499999,-0.34959984,0.0037499999,-1.4551198,0.0037499999,-0.4998943,0.0037499999,-0.80612446
0.0056250002,-0.35664387,0.0056250002,-1.4621638,0.0056250002,-0.49985943,0.0056250002,-0.82050612
0.0074999998,-0.36393499,0.0074999998,-1.469455,0.0074999998,-0.49983316,0.0074999998,-0.83212799
0.0093750004,-0.37152595,0.0093750004,-1.4770459,0.0093750004,-0.49981372,0.0093750004,-0.84244816
0.01125,-0.37931243,0.01125,-1.4848324,0.01125,-0.4997997,0.01125,-0.85214842
0.013125,-0.38676502,0.013125,-1.492285,0.013125,-0.49978985,0.013125,-0.86147649
0.015,-0.39260417,0.015,-1.4981241,0.015,-0.49978291,0.015,-0.87010845
0.016875001,-0.39545006,0.016875001,-1.50097,0.016875001,-0.49977755,0.016875001,-0.87328148
0.018750001,-0.39451735,0.018750001,-1.5000373,0.018750001,-0.49977276,0.018750001,-0.87100469
0.02,-0.39135,0.02,-1.49687,0.02,-0.49976952,0.02,-0.86596498
0.02,-0.39135,0.02,-1.49687,0.02,-0.49976952,0.02,-0.86596498
0.020625001,-0.3875346,0.020625001,-1.495695,0.020625001,-0.49976817,0.020625001,-0.86261476
0.022500001,-0.37612404,0.022500001,-1.4842844,0.022500001,-0.49976419,0.022500001,-0.84894278
0.024374999,-0.35662732,0.024374999,-1.4647877,0.024374999,-0.49975848,0.024374999,-0.82675456
0.026249999,-0.32604803,0.026249999,-1.4342084,0.026249999,-0.49974816,0.026249999,-0.79331116
0.028124999,-0.28056396,0.028124999,-1.3887243,0.028124999,-0.49972297,0.028124999,-0.74492614
0.029999999,-0.21523487,0.029999999,-1.3233952,0.029999999,-0.49963201,0.029999999,-0.67665285
0.031874999,-0.12353483,0.031874999,-1.2316952,0.031874999,-0.49903815,0.031874999,-0.58186993
0.033750001,0.0037149481,0.033750001,-1.1044454,0.033750001,-0.49086499,0.033750001,-0.45139914
0.035625,0.17902185,0.035625,-0.92913853,0.035625,-0.40832693,0.035625,-0.27300472
0.037500001,0.41720369,0.037500001,-0.69095669,0.037500001,-0.20193931,0.037500001,-0.079358894
0.039375,0.73112657,0.039375,-0.3770338,0.039375,0.090353216,0.039375,-1.1416249e-05
0.039999999,0.66367088,0.039999999,0.038129586,0.039999999,0.099356,0.039999999,-6.5397023e-06
0.039999999,0.66367088,0.039999999,0.038129586,0.039999999,0.099356,0.039999999,-6.5397023e-06
0.041250002,0.74751391,0.041250002,0.12197261,0.041250002,0.209098,0.041250002,-6.0772529e-06
0.043125,0.77972999,0.043125,0.15418869,0.043125,0.25831138,0.043125,-5.3355557e-06
0.045000002,0.78757734,0.045000002,0.16203604,0.045000002,0.27056614,0.045000002,-4.5903463e-06
0.046875,0.79049121,0.046875,0.16494991,0.046875,0.25187725,0.046875,-3.8938557e-06
0.048749998,0.79183437,0.048749998,0.16629307,0.048749998,0.23773272,0.048749998,-3.2731709e-06
0.050625,0.79231752,0.050625,0.16677623,0.050625,0.22752824,0.050625,-2.7014287e-06
0.052499998,0.79246068,0.052499998,0.16691939,0.052499998,0.21920913,0.052499998,-2.1518942e-06
0.054375,0.79249834,0.054375,0.16695705,0.054375,0.21067378,0.054375,-1.6109828e-06
0.056249999,0.79250777,0.056249999,0.16696647,0.056249999,0.19973482,0.056249999,-1.0731717e-06
0.058125,0.79251034,0.058125,0.16696904,0.058125,0.18164385,0.058125,-5.3642318e-07
0.059999999,0.7925114,0.059999999,0.1669701,0.059999999,4.5922369e-16,0.059999999,2.2961184e-17

