Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0,-0.33589388,0,-1.4414138,0,-0.5,0,-0.5
0.0018749993,-0.34271187,0.0018749993,-1.4482318,0.0018749993,-0.49993932,0.0018749993,-0.74251553
0.001875,-0.34271187,0.001875,-1.4482318,0.001875,-0.49993932,0.001875,-0.74251563
0.0037499992,-0.34959928,0.0037499992,-1.4551192,0.0037499992,-0.49989289,0.0037499992,-0.76410921
0.0037499999,-0.34959928,0.0037499999,-1.4551192,0.0037499999,-0.49989289,0.0037499999,-0.76410921
0.0056249993,-0.35664305,0.0056249993,-1.462163,0.0056249993,-0.49985754,0.0056249993,-0.77849005
0.0056250002,-0.35664305,0.0056250002,-1.462163,0.0056250002,-0.49985754,0.0056250002,-0.77849006
0.0074999989,-0.36393393,0.0074999989,-1.4694539,0.0074999989,-0.49983092,0.0074999989,-0.79011081
0.0074999998,-0.36393393,0.0074999998,-1.4694539,0.0074999998,-0.49983092,0.0074999998,-0.79011082
0.0093749994,-0.37152468,0.0093749994,-1.4770446,0.0093749994,-0.49981122,0.0093749994,-0.80042883
0.0093750004,-0.37152468,0.0093750004,-1.4770446,0.0093750004,-0.49981122,0.0093750004,-0.80042883
0.01125,-0.37931101,0.01125,-1.484831,0.01125,-0.49979701,0.01125,-0.81012432
0.01125,-0.37931101,0.01125,-1.484831,0.01125,-0.49979701,0.01125,-0.81012432
0.013124999,-0.38676348,0.013124999,-1.4922834,0.013124999,-0.49978704,0.013124999,-0.81944151
0.013125,-0.38676348,0.013125,-1.4922834,0.013125,-0.49978704,0.013125,-0.81944151
0.014999999,-0.39260257,0.014999999,-1.4981225,0.014999999,-0.49978,0.014999999,-0.82804951
0.015,-0.39260258,0.015,-1.4981225,0.015,-0.49978,0.015,-0.82804952
0.016875001,-0.39544846,0.016875001,-1.5009684,0.016875001,-0.49977457,0.016875001,-0.83121695
0.018750001,-0.39451581,0.018750001,-1.5000358,0.018750001,-0.49976972,0.018750001,-0.82893981
0.02,-0.39134854,0.02,-1.4968685,0.02,-0.49976644,0.02,-0.82390197
0.02,-0.39134854,0.02,-1.4968685,0.02,-0.49976644,0.02,-0.82390196
0.020625001,-0.38753319,0.020625001,-1.4956936,0.020625001,-0.49976507,0.020625001,-0.82055342
0.022500001,-0.37612283,0.022500001,-1.4842832,0.022500001,-0.49976103,0.022500001,-0.80688401
0.024374999,-0.35662634,0.024374999,-1.4647867,0.024374999,-0.49975525,0.024374999,-0.7846964
0.026249999,-0.32604728,0.026249999,-1.4342077,0.026249999,-0.49974479,0.026249999,-0.7512526
0.028124999,-0.28056342,0.028124999,-1.3887238,0.028124999,-0.49971926,0.028124999,-0.70286678
0.029999999,-0.21523449,0.029999999,-1.3233949,0.029999999,-0.4996271,0.029999999,-0.63459272
0.031874999,-0.12353458,0.031874999,-1.231695,0.031874999,-0.49902568,0.031874999,-0.53980906
0.033750001,0.0037150824,0.033750001,-1.1044453,0.033750001,-0.49078112,0.033750001,-0.40933924
0.035625,0.17902189,0.035625,-0.92913849,0.035625,-0.40858986,0.035625,-0.23169131
0.037500001,0.41720363,0.037500001,-0.69095675,0.037500001,-0.20335019,0.037500001,-0.075874822
0.039375,0.73112641,0.039375,-0.37703396,0.039375,0.087488265,0.039375,-1.1173708e-05
0.039999999,0.66367085,0.039999999,0.038129366,0.039999999,0.091300474,0.039999999,-6.627485e-06
0.039999999,0.66367083,0.039999999,0.038129529,0.039999999,0.091300474,0.039999999,-6.6274733e-06
0.041250002,0.74751383,0.041250002,0.12197254,0.041250002,0.16801043,0.041250002,-6.1588347e-06
0.043125,0.7797299,0.043125,0.1541886,0.043125,0.21613975,0.043125,-5.4071819e-06
0.045000002,0.78757727,0.045000002,0.16203598,0.045000002,0.22830972,0.045000002,-4.6519681e-06
0.046875,0.79049116,0.046875,0.16494986,0.046875,0.20967206,0.046875,-3.9461274e-06
0.048749998,0.79183432,0.048749998,0.16629302,0.048749998,0.19557072,0.048749998,-3.3171104e-06
0.050625,0.79231749,0.050625,0.16677619,0.050625,0.18539695,0.050625,-2.737693e-06
0.052499998,0.79246066,0.052499998,0.16691936,0.052499998,0.17709724,0.052499998,-2.1807816e-06
0.054375,0.79249832,0.054375,0.16695702,0.054375,0.16857659,0.054375,-1.632609e-06
0.056249999,0.79250776,0.056249999,0.16696646,0.056249999,0.15765635,0.056249999,-1.0875783e-06
0.058125,0.79251033,0.058125,0.16696903,0.058125,0.1396137,0.058125,-5.4362437e-07
0.059999999,0.7925114,0.059999999,0.1669701,0.059999999,5.4278485e-08,0.059999999,-2.1129536e-13

