Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0,-0.33589388,0,-1.4414138,0,-0.5,0,-0.5
0.0018749993,-0.34271346,0.0018749993,-1.4482334,0.0018749993,-0.49994384,0.0018749993,-0.84465392
0.001875,-0.34271346,0.001875,-1.4482334,0.001875,-0.49994384,0.001875,-0.84465405
0.0037499992,-0.34960242,0.0037499992,-1.4551224,0.0037499992,-0.49990086,0.0037499992,-0.86624886
0.0037499999,-0.34960242,0.0037499999,-1.4551224,0.0037499999,-0.49990086,0.0037499999,-0.86624887
0.0056249993,-0.35664766,0.0056249993,-1.4621676,0.0056249993,-0.49986814,0.0056249993,-0.88062886
0.0056250002,-0.35664766,0.0056250002,-1.4621676,0.0056250002,-0.49986814,0.0056250002,-0.88062887
0.0074999989,-0.36393988,0.0074999989,-1.4694598,0.0074999989,-0.4998435,0.0074999989,-0.89224552
0.0074999998,-0.36393988,0.0074999998,-1.4694598,0.0074999998,-0.4998435,0.0074999998,-0.89224553
0.0093749994,-0.37153178,0.0093749994,-1.4770517,0.0093749994,-0.49982526,0.0093749994,-0.90255192
0.0093750004,-0.37153179,0.0093750004,-1.4770517,0.0093750004,-0.49982526,0.0093750004,-0.90255192
0.01125,-0.37931902,0.01125,-1.484839,0.01125,-0.49981211,0.01125,-0.91221795
0.01125,-0.37931902,0.01125,-1.484839,0.01125,-0.49981211,0.01125,-0.91221796
0.013124999,-0.38677212,0.013124999,-1.4922921,0.013124999,-0.49980288,0.013124999,-0.92146517
0.013125,-0.38677212,0.013125,-1.4922921,0.013125,-0.49980288,0.013125,-0.92146517
0.014999999,-0.39261156,0.014999999,-1.4981315,0.014999999,-0.49979636,0.014999999,-0.92991908
0.015,-0.39261156,0.015,-1.4981315,0.015,-0.49979636,0.015,-0.92991909
0.016875001,-0.39545748,0.016875001,-1.5009774,0.016875001,-0.49979133,0.016875001,-0.93304482
0.018750001,-0.39452451,0.018750001,-1.5000445,0.018750001,-0.49978684,0.018750001,-0.93075611
0.02,-0.39135679,0.02,-1.4968767,0.02,-0.4997838,0.02,-0.925722
0.02,-0.39135678,0.02,-1.4968767,0.02,-0.4997838,0.02,-0.92572199
0.020625001,-0.38754114,0.020625001,-1.4957015,0.020625001,-0.49978254,0.020625001,-0.92238001
0.022500001,-0.37612968,0.022500001,-1.4842901,0.022500001,-0.4997788,0.022500001,-0.90871623
0.024374999,-0.3566319,0.024374999,-1.4647923,0.024374999,-0.49977345,0.024374999,-0.88652367
0.026249999,-0.32605156,0.026249999,-1.4342119,0.026249999,-0.49976376,0.026249999,-0.85307025
0.028124999,-0.28056659,0.028124999,-1.388727,0.028124999,-0.49974012,0.028124999,-0.80467378
0.029999999,-0.21523678,0.029999999,-1.3233972,0.029999999,-0.4996547,0.029999999,-0.73639047
0.031874999,-0.12353618,0.031874999,-1.2316966,0.031874999,-0.49909514,0.031874999,-0.64159852
0.033750001,0.0037140328,0.033750001,-1.1044463,0.033750001,-0.49118245,0.033750001,-0.51111914
0.035625,0.17902128,0.035625,-0.92913909,0.035625,-0.40486731,0.035625,-0.33254884
0.037500001,0.41720342,0.037500001,-0.69095696,0.037500001,-0.19055836,0.037500001,-0.10223639
0.039375,0.73112658,0.039375,-0.37703379,0.039375,0.10998673,0.039375,-1.5150526e-05
0.039999999,0.66367115,0.039999999,0.038129662,0.039999999,0.13362163,0.039999999,-6.1337025e-06
0.039999999,0.66367112,0.039999999,0.038129825,0.039999999,0.13362164,0.039999999,-6.1336876e-06
0.041250002,0.74751423,0.041250002,0.12197293,0.041250002,0.26652003,0.041250002,-5.6998065e-06
0.043125,0.77973029,0.043125,0.15418899,0.043125,0.31607794,0.043125,-5.0041728e-06
0.045000002,0.78757762,0.045000002,0.16203632,0.045000002,0.32841196,0.045000002,-4.3052534e-06
0.046875,0.79049145,0.046875,0.16495015,0.046875,0.30988686,0.046875,-3.652022e-06
0.048749998,0.79183457,0.048749998,0.16629327,0.048749998,0.29582564,0.048749998,-3.0698865e-06
0.050625,0.79231769,0.050625,0.16677639,0.050625,0.28566025,0.050625,-2.5336534e-06
0.052499998,0.79246082,0.052499998,0.16691952,0.052499998,0.27735731,0.052499998,-2.0182485e-06
0.054375,0.79249844,0.054375,0.16695715,0.054375,0.26882733,0.054375,-1.5109311e-06
0.056249999,0.79250784,0.056249999,0.16696654,0.056249999,0.25788779,0.056249999,-1.0065214e-06
0.058125,0.79251037,0.058125,0.16696907,0.058125,0.23978764,0.058125,-5.0310821e-07
0.059999999,0.7925114,0.059999999,0.1669701,0.059999999,9.3256565e-08,0.059999999,-1.9559256e-13

