drain TotalCurrent(optipin_des) X,drain TotalCurrent(optipin_des) Y
-0.5,1.1544743e-17
-0.5,7.3070145e-13
-0.425,7.4671326e-13
-0.35,7.530053e-13
-0.275,7.5712985e-13
-0.2,7.6053163e-13
-0.125,7.6354823e-13
-0.05,7.6627227e-13
0.025,7.6871869e-13
0.1,7.7086064e-13
0.175,7.7323681e-13
0.25,7.8415478e-13
0.325,8.7559551e-13
0.4,1.5629915e-12
0.475,6.2076801e-12
0.55,4.1314656e-11
0.5875,8.9664278e-11
0.624,2.3800037e-10
0.65977,8.4329489e-10
0.6948246,3.7260001e-09
0.72917811,1.6042589e-08
0.76284455,5.1019057e-08
0.79583765,1.1535077e-07
0.8281709,1.1694435e-07
0.83207784,7.0660685e-08
0.83968333,8.5311877e-08
0.85469152,1.2226764e-07
0.88430767,2.106763e-07
0.91333149,2.9207752e-07
0.94177484,3.4341451e-07
0.96964932,3.5523634e-07
1,3.4290673e-07

