drain TotalCurrent(pinfet_des) X,drain TotalCurrent(pinfet_des) Y
-0.4,1.1505393e-17
-0.4,1.8520944e-17
-0.392,1.8360426e-17
-0.384,1.8202261e-17
-0.376,1.8055771e-17
-0.368,1.7905519e-17
-0.36,1.7760479e-17
-0.352,1.7611975e-17
-0.344,1.7484643e-17
-0.336,1.7339991e-17
-0.328,1.7211918e-17
-0.32,1.7085816e-17
-0.312,1.6958065e-17
-0.304,1.6842106e-17
-0.296,1.6728147e-17
-0.288,1.6615944e-17
-0.28,1.6490837e-17
-0.272,1.6378891e-17
-0.264,1.626963e-17
-0.256,1.6151786e-17
-0.248,1.6044346e-17
-0.24,1.5935805e-17
-0.232,1.5824678e-17
-0.224,1.5717252e-17
-0.216,1.5607777e-17
-0.208,1.5486436e-17
-0.2,1.5385126e-17
-0.192,1.5278836e-17
-0.184,1.5174846e-17
-0.176,1.5067939e-17
-0.168,1.4940653e-17
-0.16,1.4835046e-17
-0.152,1.4735818e-17
-0.144,1.4633647e-17
-0.136,1.4517406e-17
-0.128,1.4424198e-17
-0.12,1.4331373e-17
-0.112,1.4246931e-17
-0.104,1.4149299e-17
-0.096,1.4106952e-17
-0.088,1.4067862e-17
-0.08,1.4058865e-17
-0.072,1.4052435e-17
-0.064,1.4132768e-17
-0.056,1.4267836e-17
-0.048,1.4504646e-17
-0.04,1.4836127e-17
-0.032,1.5345321e-17
-0.024,1.6091276e-17
-0.016,1.7138989e-17
-0.008,1.8519269e-17
1.6653345e-16,2.0397157e-17
0.008,2.2953115e-17
0.016,2.6323031e-17
0.024,3.0744131e-17
0.032,3.6578195e-17
0.04,4.4127835e-17
0.048,5.3940272e-17
0.056,6.6569027e-17
0.064,8.2793468e-17
0.072,1.0344707e-16
0.08,1.2974004e-16
0.088,1.6292566e-16
0.096,2.0469952e-16
0.104,2.5699911e-16
0.112,3.2212106e-16
0.12,4.0275584e-16
0.128,5.0208334e-16
0.136,6.236789e-16
0.144,7.7171621e-16
0.152,9.5101269e-16
0.16,1.1668847e-15
0.168,1.4251224e-15
0.176,1.7322022e-15
0.184,2.0950755e-15
0.192,2.5210735e-15
0.2,3.0180288e-15
0.208,3.5940147e-15
0.216,4.2574188e-15
0.224,5.0168164e-15
0.232,5.8810385e-15
0.24,6.8588446e-15
0.248,7.9589413e-15
0.256,9.1892612e-15
0.264,1.0555734e-14
0.272,1.2058996e-14
0.28,1.3683304e-14
0.288,1.5345993e-14
0.296,1.5613161e-14
0.304,1.8093644e-14
0.312,2.1042106e-14
0.32,2.4467838e-14
0.328,2.8345559e-14
0.336,3.2170477e-14
0.34,2.7730219e-14
0.34791467,3.3740357e-14
0.35591467,4.186872e-14
0.36391467,5.2453573e-14
0.37191467,6.6239507e-14
0.37991467,8.422513e-14
0.38791467,1.0777437e-13
0.39591467,1.3892788e-13
0.40391467,1.8079696e-13
0.41191467,2.3850014e-13
0.41991467,3.2018444e-13
0.42791467,4.3832929e-13
0.43591467,9.8809824e-13
0.44391467,1.3651634e-12
0.45191467,2.0011064e-12
0.45991467,3.3504298e-12
0.46791467,4.9332758e-12
0.47591467,6.6445866e-12
0.48391467,8.6860868e-12
0.49191467,1.0932937e-11
0.49991467,1.3592327e-11
0.50791467,1.6848574e-11
0.51591467,2.0867793e-11
0.52391467,2.5846151e-11
0.53191467,3.2072093e-11
0.53991467,4.0007256e-11
0.54791467,5.0373024e-11
0.55591467,6.425055e-11
0.56391467,8.3224507e-11
0.57191467,1.0960291e-10
0.57991467,1.4674517e-10
0.58791467,1.995402e-10
0.59591467,2.7509043e-10
0.60391467,3.8366971e-10
0.61191467,5.4002784e-10
0.61991467,7.6508221e-10
0.62791467,1.0879187e-09
0.63591467,1.5476966e-09
0.64391467,2.1945175e-09
0.65191467,3.0877522e-09
0.65991467,4.2902439e-09
0.66791467,5.8579891e-09
0.67591467,7.8273039e-09
0.68391467,1.0202906e-08
0.69191467,1.2946745e-08
0.69991467,1.5952897e-08
0.70791467,1.8897569e-08
0.71191467,1.6775411e-08
0.71967467,1.9755258e-08
0.72767467,2.2835959e-08
0.73567467,2.5700322e-08
0.74367467,2.8079498e-08
0.75167467,2.970346e-08
0.75967467,3.029885e-08
0.76767467,2.9535295e-08
0.77567467,2.6913387e-08
0.78367467,2.1445761e-08
0.78767467,1.7872967e-08
0.791664,1.7592479e-08
0.79961075,2.1707255e-08
0.80761075,2.7428619e-08
0.81561075,3.4193413e-08
0.82361075,4.1784479e-08
0.83161075,4.9976945e-08
0.83961075,5.8553429e-08
0.84761075,6.7324002e-08
0.85561075,7.612038e-08
0.86361075,8.4778214e-08
0.87161075,9.3122198e-08
0.87961075,1.0095441e-07
0.88761075,1.0804747e-07
0.89561075,1.1414208e-07
0.90361075,1.1893984e-07
0.91161075,1.2212106e-07
0.91961075,1.2340801e-07
0.92761075,1.2270635e-07
0.93561075,1.2011043e-07
0.94361075,1.1591716e-07
0.95161075,1.1055611e-07
0.95961075,1.0448781e-07
0.96761075,9.8120737e-08
0.97561075,9.1772692e-08
0.98361075,8.5669199e-08
0.99161075,7.9958918e-08
0.99961075,7.4723036e-08
1.0076108,6.9863161e-08
1.0156108,6.4630725e-08
1.0236108,6.2106851e-08
1.0316108,6.4829651e-08
1.0396108,7.036827e-08
1.0476108,7.7927212e-08
1.0556108,8.7617938e-08
1.0636108,9.9444171e-08
1.0716108,1.113343e-07
1.0796108,1.2139067e-07
1.0876108,1.3233012e-07
1.0956108,1.4434808e-07
1.1036108,1.5775387e-07
1.1116108,1.7404374e-07
1.1196108,1.9501866e-07
1.1276108,2.2031244e-07
1.1356108,2.5213796e-07
1.1436108,2.9323256e-07
1.1516108,3.3925003e-07
1.1596108,3.8009052e-07
1.1676108,4.2398033e-07
1.1756108,4.7093191e-07
1.1836108,5.206961e-07
1.1916108,5.7147331e-07
1.1996108,6.223901e-07
1.2,6.2485782e-07

