drain TotalCurrent(optipin_des) X,drain TotalCurrent(optipin_des) Y,drain TotalCurrent(pinfet_des) X,drain TotalCurrent(pinfet_des) Y
-0.5,1.1541499e-17,-0.4,1.1506399e-17
-0.5,7.3074922e-13,-0.4,1.8516533e-17
-0.425,7.4670549e-13,-0.392,1.8366964e-17
-0.35,7.5299574e-13,-0.384,1.8207232e-17
-0.275,7.5712081e-13,-0.376,1.8054443e-17
-0.2,7.6052276e-13,-0.368,1.7895892e-17
-0.125,7.6353948e-13,-0.36,1.7754942e-17
-0.05,7.6626367e-13,-0.352,1.7616256e-17
0.025,7.6871017e-13,-0.344,1.7468917e-17
0.1,7.7085038e-13,-0.336,1.7337072e-17
0.175,7.7320827e-13,-0.328,1.7212905e-17
0.25,7.8397874e-13,-0.32,1.7083159e-17
0.325,8.7429303e-13,-0.312,1.6955958e-17
0.4,1.55311e-12,-0.304,1.6832846e-17
0.475,6.1269205e-12,-0.296,1.6728273e-17
0.55,4.0597934e-11,-0.288,1.6598795e-17
0.56875,6.4102379e-11,-0.28,1.6496005e-17
0.60575,1.6937336e-10,-0.272,1.6370747e-17
0.64176333,5.4885042e-10,-0.264,1.6268223e-17
0.6770564,2.1835496e-09,-0.256,1.615625e-17
0.69435,4.4385771e-09,-0.248,1.6042959e-17
0.70288151,6.2174573e-09,-0.24,1.5935368e-17
0.71124239,7.3904463e-09,-0.232,1.5825472e-17
0.72450832,1.2908986e-08,-0.224,1.5715315e-17
0.75068643,3.409582e-08,-0.216,1.5603282e-17
0.80199551,1.2487583e-07,-0.208,1.5496078e-17
0.82074551,1.4394997e-07,-0.2,1.5387029e-17
0.85749551,1.2315584e-07,-0.192,1.526635e-17
0.89326551,2.2942538e-07,-0.184,1.5157543e-17
0.92832011,3.1510111e-07,-0.176,1.5068622e-17
0.96267362,3.4663588e-07,-0.168,1.496565e-17
1,3.3292699e-07,-0.16,1.4842182e-17
-,-,-0.152,1.4732612e-17
-,-,-0.144,1.4616623e-17
-,-,-0.136,1.453152e-17
-,-,-0.128,1.4429914e-17
-,-,-0.12,1.4335775e-17
-,-,-0.112,1.4251971e-17
-,-,-0.104,1.4165593e-17
-,-,-0.096,1.4094957e-17
-,-,-0.088,1.4065951e-17
-,-,-0.08,1.4042782e-17
-,-,-0.072,1.4065586e-17
-,-,-0.064,1.4120661e-17
-,-,-0.056,1.4254467e-17
-,-,-0.048,1.4499994e-17
-,-,-0.04,1.4853718e-17
-,-,-0.032,1.5364293e-17
-,-,-0.024,1.6056278e-17
-,-,-0.016,1.7086717e-17
-,-,-0.008,1.8453071e-17
-,-,1.6653345e-16,2.0338598e-17
-,-,0.008,2.2885021e-17
-,-,0.016,2.6206479e-17
-,-,0.024,3.0620626e-17
-,-,0.032,3.63863e-17
-,-,0.04,4.3901969e-17
-,-,0.048,5.3638005e-17
-,-,0.056,6.6169577e-17
-,-,0.064,8.2238897e-17
-,-,0.072,1.0275893e-16
-,-,0.08,1.2883151e-16
-,-,0.088,1.6176182e-16
-,-,0.096,2.0316569e-16
-,-,0.104,2.5506536e-16
-,-,0.112,3.1966159e-16
-,-,0.12,3.9960697e-16
-,-,0.128,4.9809976e-16
-,-,0.136,6.1866308e-16
-,-,0.144,7.6546807e-16
-,-,0.152,9.4318999e-16
-,-,0.16,1.15717e-15
-,-,0.168,1.41314e-15
-,-,0.176,1.7174983e-15
-,-,0.184,2.0770966e-15
-,-,0.192,2.4992172e-15
-,-,0.2,2.9915551e-15
-,-,0.208,3.5621075e-15
-,-,0.216,4.2191967e-15
-,-,0.224,4.9713285e-15
-,-,0.232,5.8271198e-15
-,-,0.24,6.7953473e-15
-,-,0.248,7.8845267e-15
-,-,0.256,9.1025699e-15
-,-,0.264,1.0455443e-14
-,-,0.272,1.1944035e-14
-,-,0.28,1.3553733e-14
-,-,0.288,1.5208437e-14
-,-,0.296,1.5443557e-14
-,-,0.304,1.7884399e-14
-,-,0.312,2.0792014e-14
-,-,0.32,2.4171751e-14
-,-,0.328,2.8002277e-14
-,-,0.336,3.1834661e-14
-,-,0.344,3.0054316e-14
-,-,0.352,3.7016873e-14
-,-,0.36,4.6139792e-14
-,-,0.368,5.8008222e-14
-,-,0.376,7.3471398e-14
-,-,0.384,9.3652153e-14
-,-,0.392,1.2017007e-13
-,-,0.4,1.5543607e-13
-,-,0.408,2.0326864e-13
-,-,0.416,2.6996457e-13
-,-,0.424,3.6513245e-13
-,-,0.432,6.9876373e-13
-,-,0.44,9.5824688e-13
-,-,0.448,1.3677555e-12
-,-,0.456,2.165525e-12
-,-,0.464,3.654301e-12
-,-,0.472,5.062925e-12
-,-,0.48,6.7512408e-12
-,-,0.488,8.5956064e-12
-,-,0.496,1.0625219e-11
-,-,0.504,1.3010521e-11
-,-,0.512,1.8450407e-11
-,-,0.52,2.285151e-11
-,-,0.528,2.8321927e-11
-,-,0.536,3.5213875e-11
-,-,0.544,4.4089136e-11
-,-,0.552,5.5808931e-11
-,-,0.56,7.1648577e-11
-,-,0.568,9.3469838e-11
-,-,0.576,1.2398244e-10
-,-,0.584,1.6712965e-10
-,-,0.592,2.286464e-10
-,-,0.6,3.1684894e-10
-,-,0.608,4.437318e-10
-,-,0.616,6.2643112e-10
-,-,0.624,8.8906285e-10
-,-,0.632,1.2647478e-09
-,-,0.64,1.7972171e-09
-,-,0.648,2.5408076e-09
-,-,0.656,3.5572132e-09
-,-,0.664,4.9077325e-09
-,-,0.672,6.6415749e-09
-,-,0.68,8.7832024e-09
-,-,0.688,1.1321548e-08
-,-,0.696,1.4197172e-08
-,-,0.704,1.7259324e-08
-,-,0.712,1.6518327e-08
-,-,0.72,1.9580594e-08
-,-,0.728,2.2664712e-08
-,-,0.736,2.5547978e-08
-,-,0.744,2.7964051e-08
-,-,0.752,2.9645641e-08
-,-,0.76,3.0326119e-08
-,-,0.768,2.9689276e-08
-,-,0.776,2.7265871e-08
-,-,0.784,2.2152345e-08
-,-,0.792,1.7440075e-08
-,-,0.8,2.1297205e-08
-,-,0.808,2.6918773e-08
-,-,0.816,3.3609205e-08
-,-,0.824,4.1146066e-08
-,-,0.832,4.9302417e-08
-,-,0.84,5.7856404e-08
-,-,0.848,6.6614178e-08
-,-,0.856,7.54066e-08
-,-,0.864,8.4070986e-08
-,-,0.872,9.2434806e-08
-,-,0.88,1.0030356e-07
-,-,0.888,1.0745295e-07
-,-,0.896,1.136277e-07
-,-,0.904,1.1853707e-07
-,-,0.912,1.218678e-07
-,-,0.92,1.2333156e-07
-,-,0.928,1.2281798e-07
-,-,0.936,1.2039903e-07
-,-,0.944,1.1635182e-07
-,-,0.952,1.1109445e-07
-,-,0.96,1.0508587e-07
-,-,0.968,9.8739886e-08
-,-,0.976,9.2382291e-08
-,-,0.984,8.6246117e-08
-,-,0.992,8.0485559e-08
-,-,1,7.5185793e-08
-,-,1.008,7.0276205e-08
-,-,1.016,6.506083e-08
-,-,1.024,6.2027622e-08
-,-,1.032,6.4320715e-08
-,-,1.04,6.9609406e-08
-,-,1.048,7.6904762e-08
-,-,1.056,8.6294065e-08
-,-,1.064,9.7847154e-08
-,-,1.072,1.1016193e-07
-,-,1.08,1.2016089e-07
-,-,1.088,1.3097914e-07
-,-,1.096,1.4285361e-07
-,-,1.104,1.5605404e-07
-,-,1.112,1.7179856e-07
-,-,1.12,1.9221571e-07
-,-,1.128,2.1688088e-07
-,-,1.136,2.4772067e-07
-,-,1.144,2.8761717e-07
-,-,1.152,3.3443898e-07
-,-,1.16,3.7498338e-07
-,-,1.168,4.1853503e-07
-,-,1.176,4.6509143e-07
-,-,1.184,5.146902e-07
-,-,1.192,5.6543377e-07
-,-,1.2,6.1641759e-07

