drain TotalCurrent(optipin_des) X,drain TotalCurrent(optipin_des) Y
-0.5,1.1541499e-17
-0.5,7.3074922e-13
-0.425,7.4670549e-13
-0.35,7.5299574e-13
-0.275,7.5712081e-13
-0.2,7.6052276e-13
-0.125,7.6353948e-13
-0.05,7.6626367e-13
0.025,7.6871017e-13
0.1,7.7085038e-13
0.175,7.7320827e-13
0.25,7.8397874e-13
0.325,8.7429303e-13
0.4,1.55311e-12
0.475,6.1269205e-12
0.55,4.0597934e-11
0.56875,6.4102379e-11
0.60575,1.6937336e-10
0.64176333,5.4885042e-10
0.6770564,2.1835496e-09
0.69435,4.4385771e-09
0.70288151,6.2174573e-09
0.71124239,7.3904463e-09
0.72450832,1.2908986e-08
0.75068643,3.409582e-08
0.80199551,1.2487583e-07
0.82074551,1.4394997e-07
0.85749551,1.2315584e-07
0.89326551,2.2942538e-07
0.92832011,3.1510111e-07
0.96267362,3.4663588e-07
1,3.3292699e-07

