drain TotalCurrent(optipin_des) X,drain TotalCurrent(optipin_des) Y,drain TotalCurrent(pinfet_des) X,drain TotalCurrent(pinfet_des) Y
-0.5,1.1550488e-17,-0.4,1.1513402e-17
-0.5,7.3080538e-13,-0.4,1.8514943e-17
-0.425,7.467003e-13,-0.392,1.8363288e-17
-0.35,7.5298822e-13,-0.384,1.8203503e-17
-0.275,7.5711373e-13,-0.376,1.8054741e-17
-0.2,7.6051582e-13,-0.368,1.7899322e-17
-0.125,7.635326e-13,-0.36,1.775012e-17
-0.05,7.6625693e-13,-0.352,1.7617962e-17
0.025,7.6870355e-13,-0.344,1.7479733e-17
0.1,7.7084186e-13,-0.336,1.7334909e-17
0.175,7.731806e-13,-0.328,1.7208325e-17
0.25,7.8379698e-13,-0.32,1.708832e-17
0.325,8.729363e-13,-0.312,1.6960262e-17
0.4,1.5428209e-12,-0.304,1.6839802e-17
0.475,6.0433768e-12,-0.296,1.6726303e-17
0.55,3.9852912e-11,-0.288,1.6604854e-17
0.625,2.9967421e-10,-0.28,1.6489224e-17
0.6625,1.1769884e-09,-0.272,1.6380887e-17
0.699,5.201004e-09,-0.264,1.6269018e-17
0.70788167,6.179443e-09,-0.256,1.6154579e-17
0.71877651,9.8537511e-09,-0.248,1.6039437e-17
0.74027567,2.3069758e-08,-0.24,1.5922464e-17
0.78241402,8.3020141e-08,-0.232,1.5819332e-17
0.81991402,1.4726811e-07,-0.224,1.57139e-17
0.83828902,7.8153414e-08,-0.216,1.5593681e-17
0.87356902,1.7108527e-07,-0.208,1.5487247e-17
0.90814342,2.7345882e-07,-0.2,1.5381069e-17
0.94202634,3.4117912e-07,-0.192,1.5270663e-17
0.97101317,3.5567901e-07,-0.184,1.516628e-17
1,3.4406643e-07,-0.176,1.5055628e-17
-,-,-0.168,1.4939926e-17
-,-,-0.16,1.4836393e-17
-,-,-0.152,1.4728907e-17
-,-,-0.144,1.4620234e-17
-,-,-0.136,1.4515401e-17
-,-,-0.128,1.4428718e-17
