drain TotalCurrent(optipin_des) X,drain TotalCurrent(optipin_des) Y
-0.5,1.1550488e-17
-0.5,7.3080538e-13
-0.425,7.467003e-13
-0.35,7.5298822e-13
-0.275,7.5711373e-13
-0.2,7.6051582e-13
-0.125,7.635326e-13
-0.05,7.6625693e-13
0.025,7.6870355e-13
0.1,7.7084186e-13
0.175,7.731806e-13
0.25,7.8379698e-13
0.325,8.729363e-13
0.4,1.5428209e-12
0.475,6.0433768e-12
0.55,3.9852912e-11
0.625,2.9967421e-10
0.6625,1.1769884e-09
0.699,5.201004e-09
0.70788167,6.179443e-09
0.71877651,9.8537511e-09
0.74027567,2.3069758e-08
0.78241402,8.3020141e-08
0.81991402,1.4726811e-07
0.83828902,7.8153414e-08
0.87356902,1.7108527e-07
0.90814342,2.7345882e-07
0.94202634,3.4117912e-07
0.97101317,3.5567901e-07
1,3.4406643e-07

