drain TotalCurrent(optipin_des) X,drain TotalCurrent(optipin_des) Y
-0.5,1.2797087e-17
-0.5,4.8602488e-12
-0.425,5.4405131e-12
-0.35,5.6027783e-12
-0.275,5.6506588e-12
-0.2,5.6756356e-12
-0.125,5.6942003e-12
-0.05,5.7097421e-12
0.025,5.7230737e-12
0.1,5.7338307e-12
0.175,5.7370107e-12
0.25,5.7102187e-12
0.325,5.6199978e-12
0.4,5.5461046e-12
0.475,5.90809e-12
0.55,9.2086328e-12
0.625,3.378575e-11
0.6625,7.6563937e-11
0.699,2.0310328e-10
0.73452667,7.0645186e-10
0.76886911,2.4058107e-09
0.80229576,1.07683e-08
0.83505387,3.6786839e-08
0.86715682,8.8095991e-08
0.89861771,1.0994481e-07
0.91392868,8.4676489e-08
0.94332574,1.4742958e-07
0.97166287,2.0752952e-07
1,2.4536193e-07

